CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Alto Hospicio,108375,75121,44105,4104,37860,18296,1548,37261,25809,2556
Pozo Almonte,15711,11794,7793,643,4768,2303,208,7026,5490,435
Colchane,1728,1398,962,50,581,332,21,817,630,29
Camiña,1250,951,608,24,436,232,11,515,376,13
Pica,9296,7988,6545,191,2122,1249,50,5866,5296,141
Huara,2730,2039,1396,78,894,504,26,1145,892,52
Antofagasta,361873,277774,164784,14496,138675,65280,5735,139099,99504,8761
Mejillones,13467,10587,7422,470,4029,1959,155,6558,5463,315
Sierra Gota,10186,9846,9493,133,1374,1196,28,8472,8297,105
Taltal,13317,10129,6767,390,4279,1993,146,5850,4774,244
Calama,165731,123994,76051,6853,59119,27941,2456,64875,48110,4397
Ollagüe,321,255,207,6,88,61,1,167,146,5
San Pedro de Atacama,10996,8939,7008,246,3826,2600,96,5113,4408,150
Tocopilla,25186,18486,9839,1251,9375,3846,420,9111,5993,831
María Elena,6457,5333,4087,192,1808,1003,45,3525,3084,147
Copiapó,153937,117030,63546,6416,59232,23917,2263,57798,39629,4153
Caldera,17662,13216,8032,593,6366,2974,217,6850,5058,376
Tierra Amarilla,14019,10779,5918,792,4656,1467,239,6123,4451,553
Chañaral,12219,9183,4779,610,4499,1618,232,4684,3161,378
Diego de Almagro,13925,10532,6277,620,4820,1894,193,5712,4383,427
Vallenar,51917,38840,21086,2600,20081,8502,783,18759,12584,1817
Alto del Carmen,5299,4101,2188,256,1798,618,74,2303,1570,182
Freirina,7041,5318,2883,287,2648,995,109,2670,1888,178
Huasco,10149,7649,4468,433,3716,1642,134,3933,2826,299
La Serena,221054,169822,88184,8793,90064,37816,3385,79758,50368,5408
Coquimbo,227730,172017,93416,8878,90380,38211,3490,81637,55205,5388
Andacollo,11044,8483,3952,532,4269,1322,113,4214,2630,419
La Higuera,4241,3205,1756,159,1498,563,30,1707,1193,129
Paiguano,4497,3584,2129,172,1784,844,63,1800,1285,109
Vicuña,27771,21142,11263,1047,10698,4091,370,10444,7172,677
Illapel,30848,23557,12146,1190,12441,4814,427,11116,7332,763
Canela,9093,7332,3172,297,3627,1088,77,3705,2084,220
Los Vilos,21382,16513,9790,662,8010,3552,225,8503,6238,437
Salamanca,29347,22972,13707,1087,10558,4393,375,12414,9314,712
Ovalle,111272,84161,45894,3712,44324,18409,1440,39837,27485,2272
Combarbalá,13322,10592,5095,410,5311,1758,111,5281,3337,299
Monte Patria,30751,23197,12069,1128,11787,4153,381,11410,7916,747
Punitaqui,10956,8180,3835,332,4151,1272,120,4029,2563,212
Río Hurtado,4278,3486,1676,156,1732,568,42,1754,1108,114
Valparaíso,296655,238687,131352,9676,123394,56451,4173,115293,74901,5503
Casablanca,26867,21099,12271,760,10648,4651,321,10451,7620,439
Concón,42152,33454,19431,1296,17624,8465,537,15830,10966,759
Juan Fernández,926,725,547,18,329,195,4,396,352,14
Puchuncaví,18546,14568,8132,585,7271,3103,204,7297,5029,381
Quintero,31923,24656,13324,1125,12568,5276,380,12088,8048,745
Viña del Mar,334248,272750,149468,10506,145090,66366,4563,127660,83102,5943
Isla de Pascua,7750,5879,4782,79,3010,2299,47,2869,2483,32
Los Andes,66708,51990,30442,2343,26058,11844,899,25932,18598,1444
Calle Larga,14832,11089,6397,482,5646,2478,170,5443,3919,312
Rinconada,10207,7701,4558,336,3885,1783,133,3816,2775,203
San Esteban,18855,14382,8093,609,7337,3086,219,7045,5007,390
