CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
4101,221054,169822,88184,8793,90064,37816,3385,79758,50368,5408
4102,227730,172017,93416,8878,90380,38211,3490,81637,55205,5388
4103,11044,8483,3952,532,4269,1322,113,4214,2630,419
4104,4241,3205,1756,159,1498,563,30,1707,1193,129
4105,4497,3584,2129,172,1784,844,63,1800,1285,109
4106,27771,21142,11263,1047,10698,4091,370,10444,7172,677
4201,30848,23557,12146,1190,12441,4814,427,11116,7332,763
4202,9093,7332,3172,297,3627,1088,77,3705,2084,220
4203,21382,16513,9790,662,8010,3552,225,8503,6238,437
4204,29347,22972,13707,1087,10558,4393,375,12414,9314,712
4301,111272,84161,45894,3712,44324,18409,1440,39837,27485,2272
4302,13322,10592,5095,410,5311,1758,111,5281,3337,299
4303,30751,23197,12069,1128,11787,4153,381,11410,7916,747
4304,10956,8180,3835,332,4151,1272,120,4029,2563,212
4305,4278,3486,1676,156,1732,568,42,1754,1108,114
