CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
5101,296655,238687,131352,9676,123394,56451,4173,115293,74901,5503
5102,26867,21099,12271,760,10648,4651,321,10451,7620,439
5103,42152,33454,19431,1296,17624,8465,537,15830,10966,759
5104,926,725,547,18,329,195,4,396,352,14
5105,18546,14568,8132,585,7271,3103,204,7297,5029,381
5107,31923,24656,13324,1125,12568,5276,380,12088,8048,745
5109,334248,272750,149468,10506,145090,66366,4563,127660,83102,5943
5201,7750,5879,4782,79,3010,2299,47,2869,2483,32
5301,66708,51990,30442,2343,26058,11844,899,25932,18598,1444
5302,14832,11089,6397,482,5646,2478,170,5443,3919,312
5303,10207,7701,4558,336,3885,1783,133,3816,2775,203
5304,18855,14382,8093,609,7337,3086,219,7045,5007,390
5401,35390,27580,15617,1142,14168,6247,418,13412,9370,724
5402,19388,14706,7719,589,7591,2838,185,7115,4881,404
5403,6356,5165,3209,189,2430,1124,75,2735,2085,114
5404,9826,7789,4096,350,3971,1644,98,3818,2452,252
5405,7339,5889,3541,220,2905,1334,79,2984,2207,141
5501,90517,71223,39583,2848,37363,16280,1250,33860,23303,1598
5502,50554,39332,20428,1987,20555,8089,732,18777,12339,1255
5503,17988,14080,7899,430,7039,2803,151,7041,5096,279
5504,22098,16830,9754,604,8867,4070,249,7963,5684,355
5506,22120,17153,8487,834,8888,3036,285,8265,5451,549
5601,91350,70795,40268,2932,36552,16458,1177,34243,23810,1755
5602,13817,11051,6193,325,5674,2542,125,5377,3651,200
5603,22738,17495,9383,804,8864,3641,315,8631,5742,489
5604,15955,12613,6643,508,6453,2709,210,6160,3934,298
5605,13286,10690,5383,488,5363,2066,179,5327,3317,309
5606,10900,8472,5105,253,4252,1901,119,4220,3204,134
5701,76844,58960,34643,2665,30746,14533,1210,28214,20110,1455
5702,13998,10766,5888,388,5411,2089,141,5355,3799,247
5703,24608,18761,10618,787,9591,4031,319,9170,6587,468
5704,7273,5623,3250,180,2804,1129,70,2819,2121,110
5705,16754,13205,6847,577,6670,2653,210,6535,4194,367
5706,15241,11828,6804,485,6021,2650,210,5807,4154,275
5801,151708,120578,65080,4984,64745,28481,2228,55833,36599,2756
5802,46121,35856,19394,1300,18698,7933,547,17158,11461,753
5803,17516,13860,7489,470,7096,2895,171,6764,4594,299
5804,126548,98960,53689,4155,53136,23307,1823,45824,30382,2332
