CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
7101,220357,174608,94901,7110,92407,40572,2917,82201,54329,4193
7102,46068,35094,19817,1454,17676,7221,538,17418,12596,916
7103,9448,7871,3511,266,3849,1160,84,4022,2351,182
7104,4142,3216,1794,83,1501,531,29,1715,1263,54
7105,49721,36012,21123,1541,18788,8646,615,17224,12477,926
7107,8245,6680,3610,169,3250,1252,71,3430,2358,98
7106,8422,6627,3483,228,3323,1199,101,3304,2284,127
7108,13906,11018,6349,265,5249,2040,114,5769,4309,151
7109,43269,33659,17017,1555,16822,5681,458,16837,11336,1097
7110,9191,7045,3713,290,3572,1371,92,3473,2342,198
7201,40441,31560,15922,1160,16658,6239,545,14902,9683,615
7202,8928,7009,3417,229,3500,1084,79,3509,2333,150
7203,7571,5879,3035,180,2944,1155,55,2935,1880,125
7301,149136,115342,68838,3949,59851,28736,1660,55491,40102,2289
7302,9657,7833,3877,269,3888,1321,87,3945,2556,182
7303,6653,5334,2983,177,2646,1131,75,2688,1852,102
7304,45976,35901,20099,1240,18401,7657,523,17500,12442,717
7305,10484,8305,4381,281,4198,1544,117,4107,2837,164
7306,15187,12022,7118,414,5957,2591,174,6065,4527,240
7307,18544,14656,8124,422,7234,2729,163,7422,5395,259
7308,28921,22807,12840,716,11223,4423,257,11584,8417,459
7309,4322,3512,1992,104,1684,696,35,1828,1296,69
7401,93602,72516,39244,3622,38546,16515,1520,33970,22729,2102
7402,20765,16099,7733,799,8273,2715,235,7826,5018,564
7403,30534,23846,11775,1046,11736,3654,323,12110,8121,723
7404,41637,32213,16267,1521,16816,6144,655,15397,10123,866
7405,19974,15709,7242,637,7832,2133,203,7877,5109,434
7406,45547,35252,17871,1417,18395,6701,536,16857,11170,881
7407,16221,12694,6449,422,6577,2356,164,6117,4093,258
7408,18081,13956,6967,627,6925,2206,217,7031,4761,410
