CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
Concepción,223574,185321,97500,7791,97102,43139,3363,88219,54361,4428
Coronel,116262,87944,43730,4973,46298,17847,1762,41646,25883,3211
Chiguayante,85938,67836,36409,3127,36543,16018,1320,31293,20391,1807
Florida,10624,8579,4239,273,4221,1385,84,4358,2854,189
Hualqui,24333,18713,9457,782,9778,3617,292,8935,5840,490
Lota,43535,33935,16103,2168,17855,7070,611,16080,9033,1557
Penco,47367,37180,19121,1697,19675,7804,659,17505,11317,1038
San Pedro de la Paz,131808,100126,57057,4449,53334,25015,1863,46792,32042,2586
Santa Juana,13749,10747,5173,411,5539,1970,128,5208,3203,283
Talcahuano,151749,120813,61380,5860,63599,26004,2361,57214,35376,3499
Tomé,54946,43435,21865,2052,23362,9337,838,20073,12528,1214
Hualpén,91773,72946,38059,3821,39065,16708,1534,33881,21351,2287
Lebu,25522,19309,10042,610,9963,4009,231,9346,6033,379
Arauco,36257,27702,14118,1259,14179,5252,436,13523,8866,823
Cañete,34537,25724,13201,1097,13494,5125,417,12230,8076,680
Contulmo,6031,4689,2417,219,2346,965,76,2343,1452,143
Curanilahue,32288,24779,12385,1535,12808,5012,491,11971,7373,1044
Los Alamos,21035,15475,7626,859,8073,2862,316,7402,4764,543
Tirúa,10417,7705,3888,406,3833,1480,131,3872,2408,275
Los Angeles,202331,154878,84135,7188,81175,33520,2825,73703,50615,4363
Antuco,4073,3206,1304,224,1689,533,36,1517,771,188
Cabrero,28573,22288,10329,1257,11353,3425,427,10935,6904,830
Laja,22389,17175,7302,1132,9089,2728,285,8086,4574,847
Mulchén,29627,22848,11090,1016,11611,3841,352,11237,7249,664
Nacimiento,26315,20300,9138,1102,10381,3209,314,9919,5929,788
Negrete,9737,7468,3449,401,3812,1145,103,3656,2304,298
Quilaco,3988,3190,1369,140,1584,484,37,1606,885,103
Quilleco,9587,7617,3197,400,3892,1086,111,3725,2111,289
San Rosendo,3412,2690,1014,202,1425,372,59,1265,642,143
Santa Bárbara,13773,10557,4885,590,5470,1818,187,5087,3067,403
Tucapel,14134,10971,4995,559,5691,1805,181,5280,3190,378
Yumbel,21198,16984,7453,759,8664,2690,237,8320,4763,522
Alto Biobío,5923,4051,1690,228,1945,553,49,2106,1137,179
