CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
14101,166080,132535,73999,4992,69191,32529,2242,63344,41470,2750
14102,5302,4194,2160,145,2111,796,56,2083,1364,89
14103,16752,12737,6499,535,6611,2422,197,6126,4077,338
14104,19634,15116,7676,601,7615,2586,222,7501,5090,379
14105,7095,5394,2792,204,2726,965,75,2668,1827,129
14106,21278,15862,8248,703,8013,2997,260,7849,5251,443
14107,20188,15688,8166,544,7921,2826,223,7767,5340,321
14108,34539,26263,13224,1185,13276,4751,415,12987,8473,770
14201,38036,29328,14760,1186,15076,5413,526,14252,9347,660
14202,14665,11046,5623,450,5581,1859,159,5465,3764,291
14203,9896,7692,3545,332,3769,1083,111,3923,2462,221
14204,31372,24513,12385,884,12438,4239,387,12075,8146,497
