CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
16101,184739,145379,75963,7062,77939,33027,2959,67440,42936,4103
16102,21493,16983,8126,663,8854,2991,222,8129,5135,441
16103,30907,23429,12607,1133,12623,5317,510,10806,7290,623
16104,12044,9589,4460,274,4886,1484,104,4703,2976,170
16105,8448,6746,2835,273,3442,899,71,3304,1936,202
16106,10827,8709,4176,285,4439,1471,91,4270,2705,194
16107,17485,13998,6379,498,7119,2106,185,6879,4273,313
16108,16079,12899,5401,501,6600,1653,173,6299,3748,328
16109,17787,14108,6815,685,7032,2381,213,7076,4434,472
16201,11594,9248,4375,315,4723,1568,104,4525,2807,211
16202,5012,4228,1864,140,2090,661,42,2138,1203,98
16203,15995,12501,5883,559,6420,2063,219,6081,3820,340
16204,5213,4242,1643,124,2138,568,35,2104,1075,89
16205,4862,3943,1733,117,1975,564,40,1968,1169,77
16206,5755,4640,2061,160,2367,688,44,2273,1373,116
16207,5401,4333,1805,177,2186,618,61,2147,1187,116
16301,53024,41721,19799,1866,22008,7481,706,19713,12318,1160
16302,26881,20739,9785,986,10424,3091,357,10315,6694,629
16303,11152,8930,3516,396,4450,1058,90,4480,2458,306
16304,4308,3443,1634,159,1662,528,60,1781,1106,99
16305,11603,9320,4261,367,4702,1408,127,4618,2853,240
